idx,name_kor,location,category,tel,verdict,place_id,place_name,place_addr,place_tel,place_cat,naver_url,search_fallback_url
1,몽고네,신사동,Italian,02-540-0680,HIGH,37936761,몽고네,서울 강남구 선릉로155길 5 1층,02-540-0680,이탈리아음식,https://m.place.naver.com/restaurant/37936761/home,https://m.search.naver.com/search.naver?query=%EB%AA%BD%EA%B3%A0%EB%84%A4%20%EC%8B%A0%EC%82%AC%EB%8F%99
2,라모라,서초동,Italian,02-595-3997,HIGH,38338627,라모라,서울 서초구 동광로39길 50 2층 라모라,02-595-3997,이탈리아음식,https://m.place.naver.com/restaurant/38338627/home,https://m.search.naver.com/search.naver?query=%EB%9D%BC%EB%AA%A8%EB%9D%BC%20%EC%84%9C%EC%B4%88%EB%8F%99
3,미피아체,청담동,Italian,02-516-6317,HIGH,11679313,미 피아체,서울 강남구 도산대로70길 34 1층,02-516-6317,이탈리아음식,https://m.place.naver.com/restaurant/11679313/home,https://m.search.naver.com/search.naver?query=%EB%AF%B8%ED%94%BC%EC%95%84%EC%B2%B4%20%EC%B2%AD%EB%8B%B4%EB%8F%99
4,쿠촐로 테라짜,청담동,Italian,010-3347-1571,HIGH,1942871806,쿠촐로 테라짜,서울 강남구 선릉로152길 33,,이탈리아음식,https://m.place.naver.com/restaurant/1942871806/home,https://m.search.naver.com/search.naver?query=%EC%BF%A0%EC%B4%90%EB%A1%9C%20%ED%85%8C%EB%9D%BC%EC%A7%9C%20%EC%B2%AD%EB%8B%B4%EB%8F%99
5,알라 프라마 ,논현동,Italian,02-511-2555,NO_MATCH,,,,,,,https://m.search.naver.com/search.naver?query=%EC%95%8C%EB%9D%BC%20%ED%94%84%EB%9D%BC%EB%A7%88%20%EB%85%BC%ED%98%84%EB%8F%99
6,티톨로,청담동,Italian,02-6205-9998,HIGH,1026322145,티톨로,서울 강남구 선릉로162길 27-3 1층 티톨로,0507-1300-0005,이탈리아음식,https://m.place.naver.com/restaurant/1026322145/home,https://m.search.naver.com/search.naver?query=%ED%8B%B0%ED%86%A8%EB%A1%9C%20%EC%B2%AD%EB%8B%B4%EB%8F%99
7,톡톡,청담동,Italian,02-542-3030,HIGH,32224068,톡톡,서울 강남구 학동로97길 41 리유빌딩 3층,0507-1478-3030,양식,https://m.place.naver.com/restaurant/32224068/home,https://m.search.naver.com/search.naver?query=%ED%86%A1%ED%86%A1%20%EC%B2%AD%EB%8B%B4%EB%8F%99
8,시고로,청담동,Italian,02-6489-3338,HIGH,1738395785,시고로,서울 강남구 선릉로146길 27-3 2층,0507-1382-3346,양식,https://m.place.naver.com/restaurant/1738395785/home,https://m.search.naver.com/search.naver?query=%EC%8B%9C%EA%B3%A0%EB%A1%9C%20%EC%B2%AD%EB%8B%B4%EB%8F%99
9,보르고 한남,한남동,Italian,02-6082-2727,HIGH,1234246015,보르고한남,서울 용산구 이태원로54길 31 3층 보르고한남,02-6082-2727,이탈리아음식,https://m.place.naver.com/restaurant/1234246015/home,https://m.search.naver.com/search.naver?query=%EB%B3%B4%EB%A5%B4%EA%B3%A0%20%ED%95%9C%EB%82%A8%20%ED%95%9C%EB%82%A8%EB%8F%99
10,브레라,신당동,Italian,02-2236-0770,HIGH,36513384,브레라,서울 중구 동호로17길 295 대명빌딩2층,02-2236-0770,이탈리아음식,https://m.place.naver.com/restaurant/36513384/home,https://m.search.naver.com/search.naver?query=%EB%B8%8C%EB%A0%88%EB%9D%BC%20%EC%8B%A0%EB%8B%B9%EB%8F%99
11,꼰떼넨떼,분당,Italian,031-718-2777,MEDIUM,1776719057,꼰떼넨떼,경기 성남시 분당구 정자일로 220 동양파라곤 2단지 101호,0507-1465-2779,이탈리아음식,,https://m.search.naver.com/search.naver?query=%EA%BC%B0%EB%96%BC%EB%84%A8%EB%96%BC%20%EB%B6%84%EB%8B%B9
12,바위파스타바,한남동,Italian,010-2743-1496,HIGH,2000406990,바위파스타바,서울 용산구 이태원로54길 16-9 지하 1층,070-8691-4275,양식,https://m.place.naver.com/restaurant/2000406990/home,https://m.search.naver.com/search.naver?query=%EB%B0%94%EC%9C%84%ED%8C%8C%EC%8A%A4%ED%83%80%EB%B0%94%20%ED%95%9C%EB%82%A8%EB%8F%99
13,페리지,삼성동,Italian,02-6550-8912,HIGH,1166721504,페리지,서울 강남구 봉은사로68길 6-5 1층,,양식,https://m.place.naver.com/restaurant/1166721504/home,https://m.search.naver.com/search.naver?query=%ED%8E%98%EB%A6%AC%EC%A7%80%20%EC%82%BC%EC%84%B1%EB%8F%99
14,페코리노,청담동,Italian,010-5732-3419,HIGH,1257710414,페코리노,서울 강남구 도산대로68길 18 1층,0507-1421-3517,이탈리아음식,https://m.place.naver.com/restaurant/1257710414/home,https://m.search.naver.com/search.naver?query=%ED%8E%98%EC%BD%94%EB%A6%AC%EB%85%B8%20%EC%B2%AD%EB%8B%B4%EB%8F%99
15,커먼맨션,종로구,Italian,02-735-5345,HIGH,1391429453,커먼맨션,서울 종로구 경희궁길 36 204호,0507-1368-5345,양식,https://m.place.naver.com/restaurant/1391429453/home,https://m.search.naver.com/search.naver?query=%EC%BB%A4%EB%A8%BC%EB%A7%A8%EC%85%98%20%EC%A2%85%EB%A1%9C%EA%B5%AC
